RECORD	DAT	LRO	CTY	PLA	OSN	PAR	CAT	TYP	EAD	EAT	CMR	VAL	SUM	OSA	COV	AWC	TMD	SCL	SUR	SNM	CLS	CMD	MSS	BAF	MAT	DIM	STT	QUL	TRI	OFF	CHN	COL	RLY	RDS	TPK	ILU	SLU	RLU	QUA	SAN	UTL	MIL	CHH	PUB	PBG	SCH	PRG	RIV	CAN	LAK	HSE	FMY	WDS	PLS	COP	PKS	ARB	GRA	ORC	HPS	GNS	ORN	REC	HTS	CMN	RCK	HAC	SHD	FLD	STP	GLB	HDG	FNC	GAT	ABB	EBB	FBB	OBB	EST	ALL	NMS	NMR	FDN	FAO	FAN	CAR	BOR	NOP	SYM	COM	EXC
PRO 15949	02.12.1994	Warwick RO QS 75/120	WOR	Newbold-on-Stour	Newbould-on-Stour		P	E	PRO copy is described at 12820; Warwickshire RO has a further copy, CR 503.	SP239457	200 SE, 201 SW	Matthew Hastings, Ensham, Oxfordshire, Land Surveyor	780	5347.09	Y	Usual stuff about VAL providing report and map.  [This is not a distinct division on OS 6-inch 1st edition, and OSA is for `Tredington'.]	01.01.1849	3	? Matthew Hastings		1	20.06.1850	M	A	P	157 X 124	CC	G+				SX - railway banded carmine, with rails infilled as road.	YR - rails infilled as road, with `back cutting' x 2 and `railway arch'.	Y	N	R			Q - `stone' and `lime', adjoining.		T	XN						AN																								B					T			Y					Y		Y	1		Village Green, Public Drain (with width), Church Yard.  A very neat, clean-cut and accomplished job.	X
PRO 16438	28.02.1995	NRRO ZW [MIC 1613; award at MIC 331]	YON	Newholm cum Dunsley	Newholm, Dunsley	Whitby	T	E		NZ858099	34 SE, 35 SW		782	2195.58	X	SUR from award.  ZW contains three copies of the map, one contemporary, on paper, QUL=OK+, and two later on tracing linen, evidently of different derivation, and including a larger area, LAK and FBB.	02.02.1803	8*	Robert King, Pickering				M	A	-	78 X 62	UU	-						Y																Y																											I		L	Y		Y			Y			1		Cross (named, at boundary junction), Troughs (4, joined by pecked line).	
PRO 16217	30.01.1995	Ntb RO (MP) QRA 23/1	NTB	Prudhoe	Prudhoe	Ovingham	M and barony	E		NZ103603	20 NW		782.331	1457.12	X	Rise Moor, Mickley Moor and Prudhoe Lane: 782:1:13.  [OSA is for Prudhoe township.]	01.01.1778	6					M	A	C	95 X 82	CE	G				RAP - cartouche.	Y - colliery waggon ways.	Y			Y		Q									N		Y			Y														F							N					L	Y		Y			Y	XSQX - Flourishy surround to scale.  Title has large rococco shell-type surround, with broken tree-stump to left, and arms above, with lion, unicorn, quarterings and hound above: presumably Duke of Northumberland, see 16216.)	Y	1	Coat of arms: above cartouche.	Smith's Shop, Old Engine, Horse Keepers, Agents House.  A few names of features along boundary.	
PRO 12864	17.08.1993	PRO MAF 1/191	WOR	Welland	Welland		P	E	Worcester RO has the county enrolled copy, s143/80 (307) and s143/81 (307).	SO797403	199 S, 216 NW	Thomas Edward Washbourne, 8 Cannon Row, Westminster, Middlesex, Land Surveyor	784	1976.69	X	Award is at PRO MAF 1/1061.	01.01.1849	3	William Bryan Wood, Barnbridge, Chippenham		1	20.04.1852	M	A	P	198-201-204 X 146 (protrusions each side).	PE	G	Y		Y	BWCE				R			Q											Y	Y												Y								P	B					T										Y	1		Burial Ground.	
PRO 15777	02.11.1994	Cumb RO D/MBS/1/29	CMB	Nicholforest	- [Scuggate, Warwicksland]		M	E		NY447755	12 W		784.244	8496.65	X	Enclosure by agreement, not in Tate & Turner: 784:0:39.  Commissioners say they made survey.  Scales of 22-yard and 24-yard chains.   Map and award are later C19 copies: there are two copies of the map, one plausibly neat, the other pretty scruffy.  OSA is for Nicholforest township.	01.01.1761	6	Joseph Nicholson, Hawksdale, Cumberland, Esquire, George Blamire, Carlisle, Gentleman, and Thomas James the younger, Plumpton Head, Cumberland, Gent.		A		M	A	-	92 X 63	UT	-				ROLP - grey shading of compass circle and infill of mosses.																			P																									A - mosses.				Y	Y				Y			1			
PRO 11834	28.03.1991	PRO MAF 1/519	LIN	Brumby	Brumby	Frodingham	T	E	LAO copy at 17637.	SE918098	89 NW	Samuel Vessey, Halton Holegate, Lincolnshire, Land Surveyor	785	3013.67	X	Brumby East and West Commons; West Common also partly mapped on 11839.  Entry revised 18:11:93.	01.01.1865	3	R.S. Booth, Wainfleet		1	15.04.1875	M	A	P	119 X 101	PE	G				RWAEP - two-tone grey and brown `layers' in title and adjoining names; new roads pink.	EN																					Y											N									R			T					Y						2			
PRO 16407	24.02.1995	NRRO PC/LAP [MIC 1539/448; award at MIC 1539/446]	YON	Kirby Hill and Langthorpe	Langthorpe		Ts	E	NRRO also has draft maps in ZMI [MIC 1496/505-519]	SE382682	62 NW		785	2239.26	E	Seems to be whole of Langthorpe, and enclosures only in Kir[k]by Hill [extra K in award].   Slightly better that SUR's usual quality, possibly because this is the sealed original.  In its `canteen cutlery' wooden box, better preserved than the Oxfordshire examples.  [OSA: Kirby Hill, 1213.025; Langthorpe, 1026.237.]	01.01.1812	6	John Humphries, Ripon	C			M	A	C	83 X 61	L	G+				KOP - note explains colours: shaded-stippled green and red are exchanges, shaded-stippled black is old enclosure; ownerships are humphries' usual patchwork effect, by allotment; north pointer and border dark grey.		N		R												AN	YL	Y															N													H - between old enclosures.	Y	Y			O - include `cover beggar field', `fail friend field' and `hold thy own field': you'd need it with those two.	Y	Y		Includes narrow grey-black cased band, which develops into leaves and interlacing at the corners: very different from Humphries' usual treatment.	1			
PRO 17637	29.09.1995	LAO Lindsey Award 119	LIN	Brumby	Brumby	Frodingham	T	E	PRO copy at 11834.	SE918098	89 NW	Samuel Vessey, Halton Holegate, Lincolnshire, Land Surveyor	785	3013.67	X	East Common and West Common.	02.02.1875	3	R.S. Booth, Surveyor, Wainfleet		1	15.04.1875	M	A	P	122 X 101	CC	G				RWAEPX - old roads sienna, new in carmine; larger letters layered dark brown and grey; railway earthworks shaded grey.	YEN - grey earthworks.																				Y - `conifers'.												N									N			T					P						2			X
PRO 15788	03.11.1994	Cumb RO DX/975/40	CMB	Camerton	Camerton	Camerton	T	X		NY043313	22 SE		785.368	785.36	Y	Dated 1841: ex Whitehaven Museum.  Presumably derives from tithe map.  OSA is for Camerton township.	01.01.1841	4					M	X	T	100 X 75	X	OK+					T	N			Y		QS									AN			Y		Y																												Y					Formmed by title flourishes.	Y	1		Pits, Staith.  Fields numbered: no reference.	
PRO 16375	22.02.1995	NRRO QDD (D) Book S, pp 176-184 [MIC 1579]	YON	Hawes	Widdale	Aysgarth	T	E		SD803871	50 NW		786.837	16020.48	X	Green Scarr Pasture, 786:3:14.  No mention of SUR in award: Broderick was commissioner.	01.01.1855	6	? Edward Broderick, Summer Lodge, Grinton, North Riding of Yorkshire				M	A	C	72 X 82	CE	G				RW				FR	Y											N		YN			Y														F							R			T		L	Y	Y				Y		Y	1		Sheep Folds, Lime Kilns (double circles), Shake Holes (hachured edges), Coal (several, with open dots), Bield Walls, Wash Dub, Rointra Tree (pictorial), Stone, Springs, several fence lengths in yards.	
PRO 16172	25.01.1995	Staffs RO Q/RDc 73	STF	Whiston	Whiston	Kingsley	M	E	Staffs RO has another copy of the map, D1176/A/20/9.	SK052468	124 NW		787.906	4820.63	E	787:3:25.  [OSA is for Kingsley.]	01.01.1814	6	C. Heaton, Endon				M	A	C	70 X 78	CE	G				BRKN - grey buildings.	Y - `rail road'.	Y	N		Y		Q			XN							YN	Y - black ruling.			YN																					N						Y	Y				Y		Cased dot-dash effect.	2		Copper Works, Well.   Stipple-flecked effect for old enclosed land.	
PRO 16171	25.01.1995	Staffs RO Q/RDc 72	STF	Cheadle	Cheadle		P	E		SK027419	124 W		788.906	6742.13	X	788:3:25.  SUR from award: possibly Heaton rather than Lofthouse.  One part each at 3, 9 and 12 chains.	01.01.1831	6	Charles Heaton, Endon, Staffordshire, and James Lofthouse, Dunstall, Staffordshire				M	A	C	66 X 81, 83 X 61, 71 X 59	CE	G				RNP - grey in plan numbers, cartouches and borders.		Y					G														Y												N												T				Y	P				Oval hyacinth surrounds to each title.	Ball-and-half-quatrefoil type.	5		Spring.  Old enclosures have black flecking/stipple.	
PRO 15419	26.08.1994	Shropshire RO QE/1/2/50	SHR	Oswestry	Oswestry [Nantmawr, Sweeney Mountain, Treflach]		P	E	National Library of Wales has another copy, Powis Castle M133.	SJ260250	137		790	16234.39	X	Enclosure by agreement in townships of Trefloch, Trefonnen and Soughtin: not in Tate & Turner.  [Parish from endorsement: award says Manor of Duparts.]  Roads and township boundaries as well as lots.  SUR from award.	02.02.1821	6*	Thomas Kyffin		A		M	A	C	77 X 68, 77 X 63, 91 X 66	CE	G				DEOP - north pointers shaded grey.																																	N										T		T		L		Y							3			
PRO 15064	18.07.1994	Worcs RO s267.22 (2423)	WOR	Little Comberton	Little Comberton		P	E		SO970430	200 SW		790.35	790.35	Y	SUR is from oath on map, which has the character of a draft rather than a more finished copy.	02.02.1806	3	Henry Clark				M	C	P	93 x 162	L	OK-				RGN		Y		R																																				B	B				B			Y		Y	E		Y			1			
PRO 15474	09.09.1994	Lancs RO DDHe 75/6	LNC	Great Harwood Moor	Great Harwood		-	E		SD719326	68 SW, 76 NW		790.44	2863.31	E	Enclosure by agreement, not in Tate & Turner.  490:0:7 local measure: scale 4.10 inches to 100 poles of 7 yds.  `Survey'd, Valued and Allotted' by SUR.   OSA is for Great Harwood township.	01.01.1762	7.76	R. Lang, Henry Porter		A		M	A	C	71 X 62	O	G				OP - scale infilled yellow.		Y														N		Y																								RS			E		L	R	F		Y		R		Y	1		Chevron pattern below scale.  Pictorial buildings.	
PRO 17032	18.07.1995	ERRO DDX/92/1	YOE	Lelley	Lelley		R	E	Hull University Library has a photo, DDKG/185.	TA218324	73 SW, 81 NW		792.444	792.44	Y	Award at RDB AK/213/19.  Original award 1770.  `Map of the Lordship of Lelley at the Inclosure 17  '.   DDX/92/2 is another version, with former open fields banded various colours and their names infilled grey, but no title; also has WDS, RDS=N and FBB=CC.  [CAT = T on OS 6" 1st edn.]	01.01.1843	6	Robert Iveson, Hull				M	A	P	73 X 108	UU	G				RGPU - scale in light grey surround.		Y							T - partial.									Y																													Y	Y			O	Y	Y			1			
PRO 12775	11.08.1993	MAF 1/107	NTB	Alwinton Common	Alwinton	Alwinton	-	E	The county enrolled copy is at Northumberland RO, QRA 4/1-2, where also is a further copy, EP 99/52.	NT897095	5 SE	Thomas Forster, Scrainwood, Alnham, Northumberland, Farmer	793	46680.00	X		02.02.1856	3	J. Drysdale		1	20.08.1862	M	A	P	159 X 160	PE	G	Y			WCDEX - hachures greyish.		Y		R												AN																			Y								T						Y							1		Spring, Well, Old Cattle Folds, Sheep Fold, Old Distillery.  Hills etc named, names being shaded grey.  Rather `prettier' than the general run of these maps, or indeed the more remote tithe maps in this county.	
PRO 15994	06.12.1994	Wilts RO EA 135	WLT	Ashton Gifford	Codford St Peter	Codford St Peter	M or Y	E		ST962416	282 SW, 298 NW		795	1668.12	Y	Some old enclosed land is green, the rest is very fined ruled black.  [OSA is for Codford St Peter.]	01.01.1815	8	John Daniell, Warminster				M	A	C	81 X 53	CE	G				BRADGP - north pointer sienna-brown.			N															Y																						B	B		M		B - but not all fields banded.					F		Y	Y	Plain oval.		1			
PRO 15118	21.07.1994	Worcs RO [FS] 705:380 (3706/2 (ii))	WOR	North Piddle	North Piddle		P	E	Worcestershire Record Office also has another (? photo) copy, [FS] r926.735 (1252).	SO968545	199 NE, 200 NW		797.196	797.19	Y	SUR from award.  Map is in rather rough condition, and not very leigble in places.	02.02.1830	6	Stephen Godson				M	A	C	67 x 51	X	OK+				REWGU - grey buildings.		Y	N	PR							+C							Y																						B		N			EH - only furlongs along boundary are named.		Y	Y					Y		Y	1		Drain to be kept open.	
PRO 15106	21.07.1994	Worcs RO [FS] r971.2 (1691/26)	WOR	Norton and Lenchwick	Norton, Lenchwick		P	E		SO032472	200 W		797.556	2655.83	E	Total 797:2:09.  Title says pre-enclosure, but allottees are given, and FAN collected.	01.01.1765	6*					M	C	C	65 x 101	X	OK+				RWLOPV - border colour; may be others.										XN						AN					YU																			B								Y			Y		R		Cased colour.	2			
PRO 11883	30.03.1993	DEVON RO Q/RR1 66	DEV	Upottery - Rawridge	Upottery [Rawridge]	Upottery	P	E		ST216066	311 S		800	5897.73	X		02.02.1824	8	? Henry Wakley				M	A	C	73 X 62	CE	F				RF - only new roads coloured.																																			F					B							L			P		R				5			
PRO 12379	08.07.1993	PRO MR 261	BRK	Thatcham	Thatcham		-	E	Berks RO has the parish copy, D/P 130/26/A-B, and a photocopy, T/PCa 3B.	SU508930	267 SE, 268 SW		800	11864.54	X	Award is at PRO C.54/9911 [m.7].  [OSA is for whole parish.]	01.01.1817	6					M	A	C	139 X 82	PR	G				RKN		Y								X - more than one.		N		FV		N	YLT				Y																								H		L	Y	F		O		Y		Y	5		Former open field names and some other names are in gothic.	
PRO 12501	16.07.1993	PRO LRRO 1/3674 and LRRO 1/3678	RAD	Knighton (Cwmgilla and Farrington)	Knighton [Garth Hill]		P	E	The county enrolled version is described at 12573.	SO263726	180 NE		800	3663.94	X	Map is certified copy of county enrolled copy, 1861.  [OSA is for Knighton.]	03.03.1841	6					M	A	L	78 X 70, 81 X 72	OC	OK				E		Y												A							Y																								T		L		Y							2		Turbary, Offas Dyke (herringbone, named in gothic).  Hills named.	X
PRO 12503	16.07.1993	PRO LRRO 1/3675	RAD	Pilleth	Pilleth		P	E		SO257697	180 NE		800	1887.34	X	This is another copy of a county enrolled copy made in 1861.	02.02.1815	16					M	A	L	72 X 48	OC	OK															PS							Y																											T		L									1		There is a note around the wrapper that the award is dated 1815.	
PRO 12946	23.08.1993	PRO MAF 1/280	HMP	Heckfield	Heckfield		P	E	The county enrolled copy is at Hampshire Record Office, Q23/2/68.	SU727622	268 SE, 284 NE	Edward Hewett, Hartley Wintney, Hampshire, Land Surveyor	800	3231.87	E	[OSA is for Heckfield township; Heckfield parish is 5863.135.]	02.02.1860	3	? Edward Hewett		1	17.01.1861	M	A	P	131 X 194	PE	G+				RWAE			N							X		IN						Y			N												N							B	B				T		L			P					Y	1		Well, Old Bank, Parish Pound, Lodges, avenue of trees.  Attribution to SUR is on VAL grounds.	
PRO 12952	23.08.1993	PRO MAF 1/288	BRK	Wadley	Thrupp	Faringdon	M	D	The county enrolled copy is at Berks RO, Q/RDc 98A,B.	SU289992	253 NW		800	6784.29	E	This supplements the main Wadley enclosure map, 12952.  OSA is for ancient parish of Great Faringdon.	02.02.1862	6	? William Bryan Wood				M		L	144 X 75	X	OK				RWX - proposed drain.																N		Y																																						1		This is filed with the Wadley enclosure map, 12951, but seems to have unofficial status: it is titled `Proposed outfall drain'.  It is presumably by Wood, as he was responsible for the drainage work.  (It is not very interesting!)	
PRO 13182	15.09.1993	PRO MF 1/795	YOE	Barlby	Barlby	Hemingbrough	T	E	East Riding RO has the county enrolled copy, IA (E13).	SE635345	71 SW	George Alderson, York, Land Surveyor	800	1482.23	E		01.01.1856	3			1	13.01.1858	M	A	P	76 X 185	PE	G				RWNX - various watery sienna shades for railway, roads and enclosed area.	YN		N	R												N		Y																											T		L	Y					Y		Cased light grey band	1		North pointer terminates in a fancy `A'; cf VAL.	
PRO 13219	16.09.1993	PRO MAF 1/785	BRK	Bagley Wood	South Hinksey [Bagley Wood]		-	E	The county enrolled copy is at Berks RO, Q/RDc 45A,B.	SO509029	236 E	James Saunders, St Giles, Oxford, Land Surveyor	800	896.59	E	This is Map B of the Bagley Wood enclosure, showing lands claiming rights therein; for Map A see 13218.  [OSA is for South Hinksey.]	02.02.1854	6	? Davis, Saunders & Hicks, Oxford				M	A	P	98 X 79	PE	G				RWX - band round 13218.	Y - unnamed as such, but recognisable.																																														L								Y	1		SUR is by analogy to 13218.	
PRO 13262	20.09.1993	PRO MAF 1/715	NFK	Swannington, Brandiston and Haverland	Brandiston, Haveringland Hall, Swannington		Ps	E	Norfolk RO: county enrolled copy, C/Sca 2/283; another copy and award at C/Sca 2/282.	TG140212	147 S	Robert Wright, Norwich, Land Surveyor	800	4274.40	E	This is Map B of this enclosure; for Map A see 13263.  It covers most of Brandiston [OSA 775.649], not much of Swannington [OSA 1456.218], and about 1 acre of Haverland [OSA 2042.535].	02.01.1850	3	? Robert Wright				M	B	P	84 X 143	PE	G-				WD		Y									P - a bit tumbledown; tower has recessed stages.							Y			Y											Y - inferred from stipple.						Y					P				L		Y						Y	1		Ascription to SUR is on VAL and style grounds.  School.	
PRO 13839	13.12.1993	Sur RO Q.S. 6/4/17	SUR	Bletchingley and Horne	Bletchingley, Horne		Ps	E		TQ335465	286 SE, 302 NE		800	9371.65	X	Seems to be mostly in Horne; scattered bits, not readily plotted on NS-1.  SUR appears as John Iveson, Pall Mall, Middlesex, Gentleman in award.  [OSA: Bletchingley, 5439.236; Horne, 3932.421.]	01.04.1814	6	John Iveson				M	A	C	75 X 62 (x 3)	CE	G				BWUX - church red, other buildings grey.										W								N															N												T		L									22		Pest House (as adjoining owner only).  SUR signs, April 1814.  2 parts at 3 chains.	
PRO 13951	25.01.1994	Bdf RO MA 40/2	BDF	Farndish	Farndish		P	E		SP931635	186 SW		800	3515.64	Y	Described as parish in title and as in Beds and Northants, but by 1888 it was all in Beds, and no longer a separate parish.  (It is also effectively separate on 13980, Podington, which dosen't map it.)  [OS acreage intended to apply to Farndish and Podington, cf 13980.]	01.01.1800	5	Rich. Gee				M	A	C	48 X 73	CE	G				RWGJX - church red; roads single red line inside casings; yellow-brown ruling is allotments in northants, as explained in note; open fields inferred.		Y					GQ												S																					B					T		Y	Y		Y			Y		Y	1		Ford.  Small S-decoration at one end of scale.	
